feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY.7398	Age.category	D15	-0.348885067962436	0.266239032540646	201	21	0.191653534241212	0.320711991780047
PWY0.1261	Age.category	D15	-0.404526509422465	0.307234659554769	201	198	0.189622388885607	0.320711991780047
PWYG.321	Treatment	L. kimchicus	1.01885109698721	0.76151987170912	201	193	0.19217567294268	0.320711991780047
PWY.3001	Age.category	Adult	0.424043964806814	0.326840890779767	201	201	0.196177966629116	0.323450449111641
PWY0.862	Treatment	L. kimchicus	0.991462546490935	0.74745331295305	201	194	0.195917674336298	0.323450449111641
HEXITOLDEGSUPER.PWY	Age.category	Adult	0.527094090135421	0.407763175159279	201	200	0.197792529839558	0.325216563486196
PWY.7664	Treatment	L. kimchicus	0.977443100167992	0.739945120257505	201	194	0.197703983305025	0.325216563486196
PWY.2941	Treatment	L. kimchicus	-0.60758924816214	0.461770970982697	201	201	0.200110416009236	0.328576362089239
LEU.DEG2.PWY	Age.category	D15	-0.491724152625513	0.383661234431406	201	197	0.201615472252897	0.329630504200124
P461.PWY	Treatment	L. kimchicus	0.690566013157946	0.527264345131869	201	200	0.202129315023301	0.329630504200124
PWY.5028	Age.category	D15	-0.578245938394189	0.45132084318387	201	175	0.201754053359073	0.329630504200124
PWY.6713	Treatment	L. kimchicus	0.302975064504156	0.231550606735475	201	25	0.202011163662081	0.329630504200124
PWY.7237	Treatment	L. kimchicus	1.06119221595333	0.810023062031391	201	196	0.201752443369892	0.329630504200124
CATECHOL.ORTHO.CLEAVAGE.PWY	Treatment	L. kimchicus	1.04866215110451	0.802027408169852	201	182	0.202891079873637	0.330422615794209
PWY.7431	Age.category	D15	-0.536437554198257	0.420994929983602	201	197	0.204221603642303	0.332137580923692
PWY.6562	Age.category	Adult	0.898672783395089	0.705856525941037	201	157	0.20461884830793	0.332332105053721
POLYAMSYN.PWY	Treatment	L. kimchicus	0.839738793420981	0.645988293316313	201	196	0.204978453931593	0.332465053328072
TYRFUMCAT.PWY	Age.category	Adult	0.753402243942535	0.592781203597824	201	189	0.205408048607745	0.332711007014169
LEU.DEG2.PWY	Age.category	Adult	0.67527844313747	0.532944167138733	201	197	0.206793284408172	0.334185113412458
PWY0.1277	Treatment	L. kimchicus	1.03429998304548	0.797603069831732	201	165	0.20687649877914	0.334185113412458
GALACTUROCAT.PWY	Treatment	L. kimchicus	1.0949046642827	0.847883837851687	201	192	0.207858186347356	0.335318394956583
P221.PWY	Age.category	Adult	0.71074406198557	0.564042491121863	201	197	0.209275731856934	0.336153996945873
PANTOSYN.PWY	Age.category	D15	-0.292170016830793	0.23184710110196	201	201	0.20923896567548	0.336153996945873
PWY.7392	Age.category	Adult	0.420655294043201	0.33389001969059	201	201	0.209377637725827	0.336153996945873
PWY0.1533	Treatment	L. kimchicus	0.978205407886137	0.760585662761376	201	189	0.20949948347671	0.336153996945873
