feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
K00097	Age.category	Adult	0.86785723652711	0.509692646488756	201	199	0.090363088170194	0.237848833783966
K00265	Age.category	D15	-0.577586550971289	0.339146022901915	201	201	0.0903016351082835	0.237848833783966
K00325	Treatment	L. kimchicus	1.30675674387545	0.74295312756786	201	201	0.0903155461866648	0.237848833783966
K00852	Treatment	L. kimchicus	-0.191452100643398	0.112499658294604	201	201	0.0903701211710372	0.237848833783966
K01673	Age.category	D15	-0.541257085484131	0.317889225413303	201	201	0.0903674156248451	0.237848833783966
K02757	Treatment	L. kimchicus	-0.934312441775522	0.530218056922553	201	201	0.0903328424536312	0.237848833783966
K03582	Age.category	D15	-0.655606445245159	0.385014414939182	201	201	0.0903387424064024	0.237848833783966
K05499	Age.category	Adult	1.11734444681262	0.656212343237955	201	191	0.0903806330782566	0.237848833783966
K16216	Age.category	D15	-0.827962190955472	0.486261778744058	201	125	0.090338097972601	0.237848833783966
K00140	Age.category	D15	-0.612621202280933	0.359857333657507	201	200	0.090426988891178	0.237914714905266
K00411	Treatment	L. kimchicus	1.39603411500249	0.794357467162791	201	195	0.0904297210278383	0.237914714905266
K07271	Age.category	D15	-0.974295889811481	0.572418604952287	201	162	0.0904623842337896	0.237969000653301
K06001	Treatment	L. kimchicus	1.55997539712212	0.88751919691581	201	192	0.0904873242181273	0.237985102715768
K07757	Age.category	Adult	1.4113464154005	0.829327884483645	201	115	0.0904925661019111	0.237985102715768
K01356	Treatment	L. kimchicus	-0.175962634374556	0.103437787038646	201	201	0.0905063532113935	0.237989722082651
K02032	Treatment	L. kimchicus	0.490308518997309	0.27888766785636	201	201	0.0905477154096474	0.238066840275604
K02500	Age.category	D15	-0.541398493434382	0.318198740933136	201	201	0.0906044976483283	0.238165506658674
K15777	Age.category	D15	-0.674461285700343	0.396434226945695	201	198	0.0906213612688219	0.238165506658674
K16014	Treatment	L. kimchicus	1.58781627736819	0.903820922179631	201	191	0.090610027547158	0.238165506658674
K00831	Age.category	D15	-0.517753748410119	0.304361921596919	201	201	0.0906672561632507	0.238246216394149
K02008	Treatment	L. kimchicus	1.54957135801545	0.882007353481174	201	194	0.0906882018728107	0.238246216394149
K03217	Treatment	L. kimchicus	-0.207297346071959	0.117897070606453	201	201	0.0906811540989704	0.238246216394149
K00529	Age.category	Adult	0.918973642282086	0.540253675939965	201	199	0.0907077540362576	0.238265939496116
K00082	Treatment	L. kimchicus	1.58536123404213	0.902518523296592	201	177	0.0907593321053318	0.238339705061432
K00121	Treatment	L. kimchicus	1.1556597940068	0.658303018307868	201	201	0.0907788904394778	0.238339705061432
K00853	Age.category	D15	-0.773953660896979	0.45517792435338	201	193	0.0908017178468718	0.238339705061432
K01915	Age.category	Adult	-0.268885318917742	0.15818105788818	201	201	0.0908322230541974	0.238339705061432
K04565	Age.category	Adult	0.84778911184683	0.49859501791589	201	199	0.0908249909617225	0.238339705061432
K05928	Treatment	L. kimchicus	1.22910361691207	0.697429429646255	201	92	0.0908018833012957	0.238339705061432
K07160	Age.category	Adult	0.762155702148979	0.448161018148612	201	201	0.0907693582688499	0.238339705061432
K11081	Age.category	D15	-1.06715114830856	0.627750737011842	201	141	0.0908133867468134	0.238339705061432
K05889	Age.category	Adult	1.4320472682825	0.842302818462246	201	101	0.0908454989271759	0.23834292569992
K10213	Age.category	Adult	-1.14216333316645	0.671979792892733	201	88	0.0909034521638103	0.238448846112392
K15868	Age.category	D15	-0.843094112193925	0.49602617186048	201	166	0.0909099786361168	0.238448846112392
K09810	Age.category	D15	-0.596565827516486	0.350999304065483	201	201	0.0909324584658129	0.238476188966023
K00680	Age.category	D15	0.620329670263227	0.365045979191901	201	201	0.090988828384552	0.238483879361554
K03074	Age.category	D15	-0.56325608245807	0.331457649208658	201	201	0.0909956688616423	0.238483879361554
K04109	Treatment	L. kimchicus	0.890615422720638	0.508424622088269	201	56	0.0909738334236971	0.238483879361554
K07164	Treatment	L. kimchicus	1.32051768015769	0.751622906588988	201	201	0.0909541078538064	0.238483879361554
K10697	Treatment	L. kimchicus	0.685659937131517	0.389456429900821	201	45	0.0909837389076296	0.238483879361554
K06020	Age.category	Adult	1.18343033607558	0.696418083994622	201	137	0.0910144603826923	0.238488284222369
K08311	Age.category	D15	-0.740539018288802	0.435836299030097	201	199	0.091021461221256	0.238488284222369
K14340	Treatment	L. kimchicus	1.71375593395446	0.977938472485551	201	166	0.0910591165195709	0.238555349356397
K03316	Age.category	D15	0.257883772565908	0.151840302275923	201	201	0.0911159125170893	0.238641361664582
K07793	Treatment	L. kimchicus	1.33189728336913	0.759641215271993	201	197	0.0911160754550898	0.238641361664582
K00594	Age.category	D15	-0.896346025935209	0.527737943120755	201	181	0.0911357112383852	0.238661191384397
K02049	Age.category	D15	-0.574644628136709	0.338321983842964	201	201	0.0911496410224064	0.238666075275347
K03060	Treatment	L. kimchicus	-0.144574266543807	0.0821674747672752	201	201	0.0912056234756818	0.238691393697019
K07113	Treatment	L. kimchicus	1.23277937045289	0.702875111657124	201	201	0.0911898716116175	0.238691393697019
K13730	Treatment	L. kimchicus	1.50894682681089	0.857954857288671	201	113	0.0912075748132527	0.238691393697019
K13779	Treatment	L. kimchicus	1.05676562357976	0.600708279362178	201	116	0.0912033559791534	0.238691393697019
K03484	Age.category	Adult	-0.567682568250942	0.334290638848496	201	201	0.0912230516222883	0.238700318411655
K15762	Treatment	L. kimchicus	1.7263541927242	0.982839514769083	201	101	0.0912413992755185	0.238716751814351
K18290	Age.category	Adult	-0.661587788878276	0.389689672062837	201	33	0.0912561798942541	0.238723849599066
K02049	Treatment	L. kimchicus	1.13797318185346	0.648429740259561	201	201	0.0912732369217405	0.238736899746909
K01702	Treatment	L. kimchicus	1.31203478875917	0.749019482596529	201	72	0.0913090357364992	0.238787458456855
K02750	Age.category	D15	-0.822669474975463	0.484701890867379	201	192	0.0913704811063749	0.238787458456855
K03667	Age.category	Adult	-0.324793895473223	0.19136011132791	201	201	0.0913785504955602	0.238787458456855
K06600	Age.category	Adult	0.866420619673156	0.510667398624441	201	37	0.0913568901230178	0.238787458456855
K07341	Treatment	L. kimchicus	1.26661485437077	0.723712710718753	201	196	0.0913891339589954	0.238787458456855
K09973	Age.category	Adult	1.19859586217481	0.706182838880511	201	187	0.0913867021525071	0.238787458456855
